pjsk.moe: llm. 177-3 みんなみたいには

(Character: 青柳冬弥, 草薙寧々, 宵崎奏, 朝比奈まふゆ, 東雲絵名, 暁山瑞希)

[瑞希の部屋]

瑞希的声音: 我回来了〜
瑞希: 哈啊……累死了〜
瑞希: （嘛，小测验也好好参加了，这样一来暂时应该没问题了吧）
瑞希: （放学后还久违地见到了杏和弟弟君……今天去学校露个脸或许还是挺值得的）
瑞希: 嗯〜，离晚饭还有点时间，稍微做点作业吧
瑞希: 确认一下绘名昨天上传的草稿——
瑞希: 诶，奇怪？绘名，这不是在线嘛
瑞希: 『哟。辛苦啦，绘名名！原来你在工作呀』
(Background change)
绘名: 『啊……Amia，辛苦了。画室的作业写完了，刚好有点时间，就在画草稿的方案』
绘名: 『Amia刚才在做什么？』
(Background change)
瑞希: 『哼哼哼。今天我竟然去学校了哦！很了不起吧♪』
绘名: 『还了不起呢……反正又是和往常一样，从中午才去的吧』
瑞希: 『啊哈哈，被发现了～』
(Background change)
瑞希: 『说起来，我在学校遇到你弟弟他们了， 他们还在抱怨说，为了补上之前去美国落下的进度，补习可辛苦了』
(Background change)
绘名: 『嘛，毕竟那是事先约好的，也没办法吧』
绘名: 『不过，感觉他们回来之后练习变得更有干劲了…… 是不是受到了什么好的刺激？』
瑞希: 『嘿……』
(Background change)
瑞希: （好的刺激，吗……）
瑞希: （那是——）
(White cut)

(Memory cut-in)

(Background change)
冬弥: 但是，面对那震撼人心的舞台， 亲眼目睹成千上万的人们为之狂热的景象…… 我真切地感受到了
冬弥: 所谓『进军世界』，指的就是这么一回事
(White cut)
宁宁: ——但是，我想把这一切全部吸收。 因为我相信这段经历，也一定会与梦想相连
(White cut)

(Memory cut-out)

(Background change)
瑞希: （……看来弟弟君也和那两个人一样， 在为了梦想而努力着呢）
瑞希: 『……大家，都好厉害啊』
(Background change)
绘名: 『诶？』
(Background change)
瑞希: 『你弟弟他们也是，<br>感觉大家都在朝着那个“就是这个！”的目标勇往直前呢。』
瑞希: 『你看，绘名名也是！既然决定了要考美大，<br>在绘画教室什么的不是也在超级努力吗？』
(Background change)
绘名: 『干嘛，这么突然。<br>就算夸我我也不会给你什么的。』
瑞希: 『不不，我真的只是这么觉得而已啦！』
瑞希: 『我倒是觉得，自己好像没有什么<br>梦想或者将来想做的事情呢～』
绘名: 『哼……这样啊。』
(Background change)
绘名: 『嘛，也没什么不好的吧？就算没有特别想做的。』
(Background change)
瑞希: 『诶～，是不是有点太敷衍了？』
绘名: 『我不是那个意思啦。<br>就算现在不知道想做什么，迟早也会找到的吧。』
绘名: 『如果是Amia的话，我觉得只要你想做，<br>什么都能做成呢。』
瑞希: 『诶？』
(Background change)
绘名: 『手又巧，审美也好……<br>总觉得不管什么事你都能完成得很出色。』
(Background change)
瑞希: 『哼～♪<br>绘名名，原来你是这么看我的呀？』
(Background change)
绘名: 『哇……好烦。<br>刚才的话，还是收回吧。』
瑞希: 『诶～！？』
(Background change)
绘名: 『啊……差不多该去学校了。<br>晚上见。』
(Background change)
瑞希: 『好——！路上小心！』
(Background change)
(White cut)

(Memory cut-in)

(Background change)
绘名: 『就算现在不知道想做什么，总有一天会找到的吧』
(White cut)

(Memory cut-out)

(Background change)
瑞希: …………
瑞希: 总有一天会找到，吗……
瑞希: 谁知道呢。说到底，梦想之类的东西， 至今为止我都没怎么考虑过呢
瑞希: 我一直觉得，只要现在开心就好了……
瑞希: （想做的事，吗……）
瑞希: （如果是喜欢的事情，倒是有很多呢）
瑞希: （看动画、改衣服…… 在25时制作视频我也很喜欢）
瑞希: （但要说那是不是像绘名她们那样， 能让人觉得“绝对就是这个了！”的东西…… 我也不太清楚）
瑞希: （啊，不过……总觉得……）
瑞希: （如果是指“想要变成这样”的目标的话——）
(White cut)

(Memory cut-in)

(Background change)
(White cut)
(Background change)
(White cut)

(Memory cut-out)

(Background change)
瑞希: （嗯～。不过这个 和大家所说的梦想，完全不是一回事呢）
瑞希: 梦想，吗……
瑞希: ……不太想象得出来呢
(Black cut)
